Timestamp,Mode,V1,V2,V3,V4
2025-05-08 17:17:53,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:17:54,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:17:55,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:17:56,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:17:57,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:17:58,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:17:59,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:01,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:02,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:03,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:04,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:05,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:06,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:07,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:08,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:09,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:11,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:12,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:13,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:14,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:15,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:16,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:17,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:18,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:19,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:21,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:22,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:23,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:24,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:25,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:26,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:27,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:28,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:29,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:31,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:32,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:33,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:34,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:35,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:36,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:37,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:38,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:39,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:41,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:42,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:43,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:44,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:45,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:46,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:47,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:48,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:49,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:51,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:52,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:53,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:54,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:55,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:56,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:57,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:58,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:18:59,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:01,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:02,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:03,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:04,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:05,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:06,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:07,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:08,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:09,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:11,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:12,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:13,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:14,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:15,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:16,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:17,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:18,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:19,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:21,DC,9.74,23.95,-5.98,-8.38
2025-05-08 17:19:22,DC,9.74,23.95,-5.98,-8.38
